nickname,email,gender
"cameronjenkins87","cameron.jenkins87@mail.com",""
"hannah.scott20","hannah_scott20@gmail.com","F"
"arianamurphy65","ariana_murphy65@gmail.com","F"
"robert_richardson9","robert_richardson9@gmail.com","M"
"madison_nelson3","madison.nelson3@gmail.com","F"
"christianprice55","christian.price55@gmail.com",""
"jacob.cooper56","jacobcooper56@outlook.com","M"
"lincolnhoward31","lincolnhoward31@hotmail.com","M"
"lucy_jones58","lucy.jones58@gmail.com",""
"aurora.ross32","auroraross32@gmail.com","F"
"weston.kelly71","weston.kelly71@mail.com","M"
"clara_reyes49","clara.reyes49@gmail.com","F"
"elizabeth_ruiz15","elizabethruiz15@hotmail.com","F"
"robertbailey57","robertbailey57@mail.com",""
"melanie.lee11","melanie_lee11@outlook.com",""
"elizabethcruz16","elizabeth_cruz16@mail.com","F"
"aubreyhill39","aubrey_hill39@hotmail.com",""
"emilia.hernandez22","emilia_hernandez22@gmail.com","F"
"valentina.jimenez51","valentinajimenez51@mail.com","F"
"amelia_long85","amelia_long85@gmail.com",""
"mila_patel22","mila.patel22@mail.com",""
"raelynn.morris3","raelynn_morris3@gmail.com","F"
"madison.turner83","madison_turner83@gmail.com","F"
"ameliaclark62","ameliaclark62@hotmail.com","F"
"milaortiz26","mila.ortiz26@outlook.com","F"
"pipergreen86","pipergreen86@mail.com",""
"james.sullivan81","jamessullivan81@hotmail.com","M"
"scarlett_bailey92","scarlett.bailey92@hotmail.com","F"
"leah_bailey94","leah_bailey94@outlook.com","F"
"quinn.morales40","quinn_morales40@hotmail.com","F"
"mason_flores89","masonflores89@mail.com","M"
"jamesprice23","james_price23@gmail.com","M"
"jacksonmendoza53","jackson.mendoza53@mail.com","M"
"charles.kim41","charleskim41@mail.com",""
"joshua_bell37","joshua_bell37@outlook.com","M"
"mia_bennett43","miabennett43@outlook.com","F"
"sophia_kelly85","sophiakelly85@outlook.com","F"
"aaroncoleman59","aaron_coleman59@outlook.com",""
"brielle.miller30","briellemiller30@outlook.com","F"
"ryder_hernandez11","ryder.hernandez11@outlook.com","M"
"serenity.collins31","serenity.collins31@gmail.com","F"
"adeline_sullivan60","adeline_sullivan60@hotmail.com","F"
"zoetorres62","zoetorres62@mail.com",""
"jonathanharris47","jonathan_harris47@gmail.com","M"
"sebastianflores34","sebastianflores34@gmail.com","M"
"gabrielhernandez35","gabriel.hernandez35@gmail.com","M"
"carson_gonzalez13","carson_gonzalez13@gmail.com","M"
"naomiwhite92","naomi_white92@gmail.com","F"
"sofiadavis13","sofia.davis13@hotmail.com","F"
"valentina.davis77","valentina_davis77@gmail.com","F"
"matthew_rodriguez90","matthew_rodriguez90@outlook.com","M"
